season,week,seasonType,startDate,endDate,firstGameStart,lastGameStart
2026,1,regular,2026-08-29T07:00:00.000Z,2026-09-08T06:59:00.000Z,2026-08-29T07:00:00.000Z,2026-09-08T06:59:00.000Z
2026,2,regular,2026-09-08T07:00:00.000Z,2026-09-14T06:59:00.000Z,2026-09-08T07:00:00.000Z,2026-09-14T06:59:00.000Z
2026,3,regular,2026-09-14T07:00:00.000Z,2026-09-21T06:59:00.000Z,2026-09-14T07:00:00.000Z,2026-09-21T06:59:00.000Z
2026,4,regular,2026-09-21T07:00:00.000Z,2026-09-28T06:59:00.000Z,2026-09-21T07:00:00.000Z,2026-09-28T06:59:00.000Z
2026,5,regular,2026-09-28T07:00:00.000Z,2026-10-05T06:59:00.000Z,2026-09-28T07:00:00.000Z,2026-10-05T06:59:00.000Z
2026,6,regular,2026-10-05T07:00:00.000Z,2026-10-12T06:59:00.000Z,2026-10-05T07:00:00.000Z,2026-10-12T06:59:00.000Z
2026,7,regular,2026-10-12T07:00:00.000Z,2026-10-19T06:59:00.000Z,2026-10-12T07:00:00.000Z,2026-10-19T06:59:00.000Z
2026,8,regular,2026-10-19T07:00:00.000Z,2026-10-26T06:59:00.000Z,2026-10-19T07:00:00.000Z,2026-10-26T06:59:00.000Z
2026,9,regular,2026-10-26T07:00:00.000Z,2026-11-02T07:59:00.000Z,2026-10-26T07:00:00.000Z,2026-11-02T07:59:00.000Z
2026,10,regular,2026-11-02T08:00:00.000Z,2026-11-09T07:59:00.000Z,2026-11-02T08:00:00.000Z,2026-11-09T07:59:00.000Z
2026,11,regular,2026-11-09T08:00:00.000Z,2026-11-16T07:59:00.000Z,2026-11-09T08:00:00.000Z,2026-11-16T07:59:00.000Z
2026,12,regular,2026-11-16T08:00:00.000Z,2026-11-23T07:59:00.000Z,2026-11-16T08:00:00.000Z,2026-11-23T07:59:00.000Z
2026,13,regular,2026-11-23T08:00:00.000Z,2026-11-30T07:59:00.000Z,2026-11-23T08:00:00.000Z,2026-11-30T07:59:00.000Z
2026,14,regular,2026-11-30T08:00:00.000Z,2026-12-07T07:59:00.000Z,2026-11-30T08:00:00.000Z,2026-12-07T07:59:00.000Z
2026,15,regular,2026-12-07T08:00:00.000Z,2026-12-12T07:59:00.000Z,2026-12-07T08:00:00.000Z,2026-12-12T07:59:00.000Z
2026,1,postseason,2026-12-12T08:00:00.000Z,2027-01-28T07:59:00.000Z,2026-12-12T08:00:00.000Z,2027-01-28T07:59:00.000Z
