team,head_coach_retained,oc_retained,dc_retained,offensive_scheme_change,defensive_scheme_change
Air Force,1,1,1,0,0
Akron,1,1,1,0,0
Alabama,1,1,1,0,0
App State,1,1,1,0,0
Arizona,1,1,1,0,0
Arizona State,1,1,1,0,0
Arkansas,0,0,0,1,1
Arkansas State,1,1,1,0,0
Army,1,1,1,0,0
Auburn,0,0,0,1,1
BYU,1,1,1,0,0
Ball State,1,1,1,0,0
Baylor,1,1,1,0,0
Boise State,1,1,1,0,0
Boston College,1,1,1,0,0
Bowling Green,1,1,1,0,0
Buffalo,1,1,1,0,0
California,0,0,0,1,1
Central Michigan,1,1,1,0,0
Charlotte,1,1,1,0,0
Cincinnati,1,1,1,0,0
Clemson,1,1,1,0,0
Coastal Carolina,1,1,1,0,0
Colorado,1,1,1,0,0
Colorado State,1,1,1,0,0
Delaware,1,1,1,0,0
Duke,1,1,1,0,0
East Carolina,1,1,1,0,0
Eastern Michigan,1,1,1,0,0
Florida,0,0,0,1,1
Florida Atlantic,0,0,0,1,1
Florida International,1,1,1,0,0
Florida State,1,1,1,0,0
Fresno State,1,1,1,0,0
Georgia,1,1,1,0,0
Georgia Southern,1,1,1,0,0
Georgia State,1,1,1,0,0
Georgia Tech,1,1,1,0,0
Hawai'i,1,1,1,0,0
Houston,1,1,1,0,0
Illinois,1,1,1,0,0
Indiana,1,1,1,0,0
Iowa,1,1,1,0,0
Iowa State,0,0,0,1,1
Jacksonville State,1,1,1,0,0
James Madison,0,0,0,1,1
Kansas,1,1,1,0,0
Kansas State,0,0,0,1,1
Kennesaw State,1,1,1,0,0
Kent State,1,1,1,0,0
Kentucky,0,0,0,1,1
LSU,0,0,0,1,1
Liberty,1,1,1,0,0
Louisiana,1,1,1,0,0
Louisiana Tech,1,1,1,0,0
Louisville,1,1,1,0,0
Marshall,1,1,1,0,0
Maryland,1,1,1,0,0
Massachusetts,1,1,1,0,0
Memphis,0,0,0,1,1
Miami,1,1,1,0,0
Miami (OH),1,1,1,0,0
Michigan,0,0,0,1,1
Michigan State,0,0,0,1,1
Middle Tennessee,1,1,1,0,0
Minnesota,1,1,1,0,0
Mississippi State,1,1,1,0,0
Missouri,1,1,1,0,0
Missouri State,1,1,1,0,0
NC State,1,1,1,0,0
Navy,1,1,1,0,0
Nebraska,1,1,1,0,0
Nevada,1,1,1,0,0
New Mexico,1,1,1,0,0
New Mexico State,1,1,1,0,0
North Carolina,1,1,1,0,0
North Dakota State,1,1,1,0,0
North Texas,0,0,0,1,1
Northern Illinois,1,1,1,0,0
Northwestern,1,1,1,0,0
Notre Dame,1,1,1,0,0
Ohio,1,1,1,0,0
Ohio State,1,1,1,0,0
Oklahoma,1,1,1,0,0
Oklahoma State,0,0,0,1,1
Old Dominion,1,1,1,0,0
Ole Miss,0,0,0,1,1
Oregon,1,1,1,0,0
Oregon State,0,0,0,1,1
Penn State,0,0,0,1,1
Pittsburgh,1,1,1,0,0
Purdue,1,1,1,0,0
Rice,1,1,1,0,0
Rutgers,1,1,1,0,0
SMU,1,1,1,0,0
Sacramento State,1,1,1,0,0
Sam Houston,1,1,1,0,0
San Diego State,1,1,1,0,0
San José State,1,1,1,0,0
South Alabama,1,1,1,0,0
South Carolina,1,1,1,0,0
South Florida,0,0,0,1,1
Southern Miss,1,1,1,0,0
Stanford,0,0,0,1,1
Syracuse,1,1,1,0,0
TCU,1,1,1,0,0
Temple,1,1,1,0,0
Tennessee,1,1,1,0,0
Texas,1,1,1,0,0
Texas A&M,1,1,1,0,0
Texas State,1,1,1,0,0
Texas Tech,1,1,1,0,0
Toledo,1,1,1,0,0
Troy,1,1,1,0,0
Tulane,0,0,0,1,1
Tulsa,1,1,1,0,0
UAB,0,0,0,1,1
UCF,1,1,1,0,0
UCLA,0,0,0,1,1
UConn,1,1,1,0,0
UL Monroe,1,1,1,0,0
UNLV,1,1,1,0,0
USC,1,1,1,0,0
UTEP,1,1,1,0,0
UTSA,1,1,1,0,0
Utah,1,1,1,0,0
Utah State,1,1,1,0,0
Vanderbilt,1,1,1,0,0
Virginia,1,1,1,0,0
Virginia Tech,0,0,0,1,1
Wake Forest,1,1,1,0,0
Washington,1,1,1,0,0
Washington State,1,1,1,0,0
West Virginia,1,1,1,0,0
Western Kentucky,1,1,1,0,0
Western Michigan,1,1,1,0,0
Wisconsin,1,1,1,0,0
Wyoming,1,1,1,0,0
