team,returning_production_total,offense_returning_production,defense_returning_production,players_left
Air Force,85.0,85.0,85.0,0
Akron,61.8,73.0,50.6,12
Alabama,63.8,52.8,74.7,15
App State,48.5,43.5,53.5,23
Arizona,84.0,84.8,83.1,8
Arizona State,63.3,47.4,79.3,8
Arkansas,63.6,59.6,67.5,28
Arkansas State,53.8,50.9,56.7,16
Army,85.0,85.0,85.0,0
Auburn,40.8,18.6,63.0,20
BYU,82.5,83.7,81.2,6
Ball State,56.3,57.6,55.0,13
Baylor,63.7,73.1,54.2,20
Boise State,76.9,80.3,73.5,5
Boston College,55.5,46.1,64.9,16
Bowling Green,51.3,49.6,53.0,17
Buffalo,54.5,53.9,55.0,13
California,58.4,61.1,55.8,16
Central Michigan,70.2,66.7,73.8,11
Charlotte,58.8,54.6,63.1,16
Cincinnati,53.0,40.3,65.6,18
Clemson,68.1,64.4,71.9,10
Coastal Carolina,42.2,37.5,46.9,26
Colorado,50.4,51.9,48.8,22
Colorado State,40.7,21.7,59.8,27
Delaware,84.6,85.0,84.2,2
Duke,62.9,46.2,79.6,10
East Carolina,47.4,34.3,60.5,19
Eastern Michigan,73.9,81.7,66.1,12
Florida,57.6,51.1,64.1,20
Florida Atlantic,64.8,58.6,71.0,16
Florida International,54.3,55.0,53.7,14
Florida State,54.9,62.9,46.8,29
Fresno State,79.2,79.0,79.4,6
Georgia,81.3,85.0,77.5,8
Georgia Southern,74.7,84.0,65.3,8
Georgia State,46.7,67.1,26.3,28
Georgia Tech,75.3,72.3,78.2,13
Hawai'i,71.8,59.6,84.0,8
Houston,80.9,82.9,79.0,6
Illinois,71.3,75.4,67.2,17
Indiana,71.1,61.2,80.9,10
Iowa,78.6,81.2,76.0,4
Iowa State,20.2,6.6,33.9,32
Jacksonville State,63.4,58.4,68.4,8
James Madison,48.1,56.3,40.0,17
Kansas,70.1,82.4,57.7,14
Kansas State,61.0,65.9,56.2,18
Kennesaw State,54.9,42.3,67.5,13
Kent State,61.9,51.4,72.5,9
Kentucky,60.7,53.1,68.3,17
LSU,58.8,40.8,76.7,21
Liberty,54.8,41.6,67.9,13
Louisiana,67.3,52.3,82.3,6
Louisiana Tech,57.8,54.6,61.0,12
Louisville,68.1,62.3,73.9,19
Marshall,64.9,64.4,65.4,13
Maryland,76.2,77.6,74.7,14
Massachusetts,47.0,38.2,55.7,16
Memphis,52.6,59.4,45.7,22
Miami,71.7,63.2,80.3,10
Miami (OH),72.9,77.7,68.2,7
Michigan,58.8,59.7,57.9,18
Michigan State,48.1,38.6,57.5,23
Middle Tennessee,56.6,53.9,59.2,11
Minnesota,73.9,74.1,73.7,7
Mississippi State,78.3,80.4,76.2,20
Missouri,66.9,56.2,77.7,16
Missouri State,67.8,67.2,68.5,9
NC State,74.8,72.4,77.2,9
Navy,83.1,85.0,81.3,1
Nebraska,75.2,71.4,79.0,9
Nevada,65.7,73.6,57.9,13
New Mexico,74.9,66.0,83.7,6
New Mexico State,55.2,63.3,47.1,17
North Carolina,63.9,63.9,63.8,16
North Dakota State,76.1,85.0,67.1,2
North Texas,30.9,17.5,44.2,25
Northern Illinois,57.4,67.8,47.1,15
Northwestern,78.2,77.0,79.4,5
Notre Dame,80.5,80.6,80.4,12
Ohio,44.6,27.5,61.8,10
Ohio State,78.0,75.5,80.5,16
Oklahoma,75.3,75.9,74.8,15
Oklahoma State,39.7,21.9,57.6,34
Old Dominion,42.6,20.1,65.1,14
Ole Miss,68.1,72.6,63.7,10
Oregon,74.7,77.1,72.4,21
Oregon State,57.6,54.8,60.5,23
Penn State,55.2,64.2,46.3,28
Pittsburgh,62.6,58.0,67.2,13
Purdue,69.0,63.6,74.3,14
Rice,60.1,45.1,75.0,15
Rutgers,71.5,75.1,67.8,8
SMU,76.6,77.0,76.2,11
Sacramento State,33.8,33.8,33.8,18
Sam Houston,71.4,65.0,77.9,10
San Diego State,64.4,83.0,45.7,13
San José State,38.2,19.3,57.1,12
South Alabama,60.3,77.9,42.7,19
South Carolina,81.3,82.0,80.6,7
South Florida,42.5,18.6,66.3,23
Southern Miss,53.4,76.6,30.1,20
Stanford,74.6,68.9,80.3,6
Syracuse,65.1,51.1,79.0,19
TCU,71.0,62.1,79.9,7
Temple,76.5,80.9,72.2,13
Tennessee,72.7,77.2,68.1,20
Texas,69.1,63.6,74.6,15
Texas A&M,80.4,81.0,79.7,13
Texas State,67.0,82.5,51.6,15
Texas Tech,82.5,82.2,82.7,14
Toledo,56.9,66.9,46.8,22
Troy,63.6,53.1,74.0,14
Tulane,62.8,58.0,67.6,14
Tulsa,56.1,51.1,61.1,14
UAB,44.0,54.1,33.9,23
UCF,60.9,51.1,70.7,24
UCLA,61.9,71.2,52.6,16
UConn,57.7,62.3,53.1,25
UL Monroe,70.0,68.0,71.9,12
UNLV,56.5,46.1,66.9,10
USC,76.6,76.8,76.5,16
UTEP,43.7,20.9,66.6,13
UTSA,62.1,67.0,57.1,15
Utah,70.4,79.4,61.4,10
Utah State,75.7,74.0,77.4,10
Vanderbilt,75.7,74.3,77.1,8
Virginia,69.8,67.6,72.0,14
Virginia Tech,72.6,74.2,71.0,18
Wake Forest,71.8,61.5,82.1,9
Washington,61.0,49.4,72.6,10
Washington State,52.4,50.9,53.8,25
West Virginia,50.7,32.9,68.5,26
Western Kentucky,61.1,64.7,57.5,14
Western Michigan,81.2,78.3,84.0,8
Wisconsin,67.6,66.5,68.7,11
Wyoming,60.1,50.7,69.6,11
